ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,FR-O,FR-W,BUFFER,OUTPUT,SIZE,PDI
47CD,HSPC,Micromixer,16.76,0,8.55,5.36,2.85,2.04,2,0.68,1.36,MQ,YES,68,0.145
48CD,HSPC,Micromixer,16.76,0,8.55,5.36,2.85,2.04,23,0.085,1.955,MQ,YES,74,0.265
49CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,1,0.685,0.685,MQ,YES,147,0.392
50CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,50,0.027,1.343,MQ,YES,95,0.38
51CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,0.25,7,0.031,0.219,MQ,YES,123,0.317
52CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,2.5,7,0.313,2.188,MQ,YES,74,0.285
53CD,HSPC,Micromixer,16.76,0,12.57,0,4.19,1.37,7,0.171,1.199,MQ,YES,86,0.333
54CD,HSPC,Micromixer,16.76,0,7.54,6.7,2.51,1.37,7,0.171,1.199,MQ,YES,67,0.219
55CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,77,0.271
56CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,77,0.276
57CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,77,0.273
58CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,74,0.286
59CD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,76,0.288
60CD,HSPC,Micromixer ,16.76,0,10.06,3.35,3.35,1.37,7,0.171,1.199,MQ,YES,78,0.278
61CD,HSPC,Micromixer ,16.76,0,7.54,6.7,2.51,1.375,3.5,0.306,1.069,MQ,YES,70,0.171
62CD,HSPC,Micromixer ,16.76,0,7.54,6.7,2.51,2.5,3.5,0.556,1.944,MQ,YES,58,0.196
63CD,HSPC,Micromixer ,16.76,0,7.54,6.7,2.51,1.375,1,0.688,0.688,MQ,YES,91,0.14
64CD,HSPC,Micromixer ,16.76,0,7.54,6.7,2.51,2.5,1,1.25,1.25,MQ,YES,90,0.13
65CD,HSPC,Micromixer ,16.76,0,8.55,5.36,2.85,1.375,3.5,0.306,1.069,MQ,YES,72,0.202
66CD,HSPC,Micromixer ,16.76,0,8.55,5.36,2.85,2.5,3.5,0.56,1.94,MQ,YES,57,0.219
67CD,HSPC,Micromixer ,16.76,0,8.55,5.36,2.85,1.375,1,0.688,0.688,MQ,YES,106,0.18
68CD,HSPC,Micromixer ,16.76,0,8.55,5.36,2.85,2.5,1,1.25,1.25,MQ,YES,109,0.217
69CD,HSPC,Micromixer ,16.76,0,8.55,5.36,2.85,0.25,1,0.125,0.125,MQ,YES,104,0.126
70CD,HSPC,Micromixer ,16.76,0,8.55,5.36,2.85,0.25,3.5,0.056,0.194,MQ,YES,120,0.164
01CM,ESM,Micromixer,20,17.97,0,2.03,0,0.706,1.8,0.251,0.455,MQ,NO,14748,0.726
02CM,ESM,Micromixer,20,12.03,0,7.97,0,0.706,1.8,0.251,0.455,MQ,YES,132,0.052
03CM,ESM,Micromixer,20,17.97,0,2.03,0,2.044,1.8,0.727,1.317,MQ,NO,4942,1
04CM,ESM,Micromixer,20,12.03,0,7.97,0,2.044,1.8,0.727,1.317,MQ,YES,119,0.04
05CM,ESM,Micromixer,20,17.97,0,2.03,0,0.706,4.2,0.136,0.57,MQ,NO,571,0.595
06CM,ESM,Micromixer,20,12.03,0,7.97,0,0.706,4.2,0.136,0.57,MQ,YES,108,0.051
07CM,ESM,Micromixer,20,17.97,0,2.03,0,2.044,4.2,0.394,1.65,MQ,YES,195,0.204
08CM,ESM,Micromixer,20,12.03,0,7.97,0,2.044,4.2,0.394,1.65,MQ,YES,89,0.083
09CM,ESM,Micromixer,20,20,0,0,0,1.375,3,0.344,1.031,MQ,NO,7297,1
10CM,ESM,Micromixer,20,10,0,10,0,1.375,3,0.344,1.031,MQ,YES,89,0.08
11CM,ESM,Micromixer,20,15,0,5,0,0.25,3,0.063,0.188,MQ,YES,189,0.213
12CM,ESM,Micromixer,20,15,0,5,0,2.5,3,0.625,1.875,MQ,YES,158,0.064
13CM,ESM,Micromixer,20,15,0,5,0,1.375,1,0.688,0.688,MQ,YES,410,0.453
14CM,ESM,Micromixer,20,15,0,5,0,1.375,5,0.229,1.146,MQ,YES,125,0.048
15CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,163,0.119
16CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,154,0.072
17CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,161,0.07
18CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,166,0.074
19CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,169,0.051
20CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,162,0.065
21CM,ESM,Micromixer,20,17.97,0,2.03,0,0.706,1.8,0.251,0.455,MQ,NO,834,0.856
22CM,ESM,Micromixer,20,12.03,0,7.97,0,0.706,1.8,0.251,0.455,MQ,YES,125,0.03
23CM,ESM,Micromixer,20,17.97,0,2.03,0,2.044,1.8,0.727,1.317,MQ,NO,8974,0.832
24CM,ESM,Micromixer,20,12.03,0,7.97,0,2.044,1.8,0.727,1.317,MQ,YES,112,0.051
25CM,ESM,Micromixer,20,17.97,0,2.03,0,0.706,4.2,0.136,0.57,MQ,NO,623,0.643
26CM,ESM,Micromixer,20,12.03,0,7.97,0,0.706,4.2,0.136,0.57,MQ,YES,106,0.066
27CM,ESM,Micromixer,20,17.97,0,2.03,0,2.044,4.2,0.394,1.65,MQ,YES,185,0.149
28CM,ESM,Micromixer,20,12.03,0,7.97,0,2.044,4.2,0.394,1.65,MQ,YES,84,0.059
29CM,ESM,Micromixer,20,20,0,0,0,1.375,3,0.344,1.031,MQ,NO,4813,1
30CM,ESM,Micromixer,20,10,0,10,0,1.375,3,0.344,1.031,MQ,YES,87,0.089
31CM,ESM,Micromixer,20,15,0,5,0,0.25,3,0.063,0.188,MQ,YES,181,0.132
32CM,ESM,Micromixer,20,15,0,5,0,2.5,3,0.625,1.875,MQ,YES,147,0.029
33CM,ESM,Micromixer,20,15,0,5,0,1.375,1,0.688,0.688,MQ,YES,299,0.558
34CM,ESM,Micromixer,20,15,0,5,0,1.375,5,0.229,1.146,MQ,YES,138,0.034
35CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,182,0.099
36CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,177,0.101
37CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,128,0.042
38CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,179,0.141
39CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,168,0.114
40CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,177,0.16
41CM,ESM,Micromixer,20,17.97,0,2.03,0,0.706,1.8,0.251,0.455,MQ,NO,15908,0.74
42CM,ESM,Micromixer,20,12.03,0,7.97,0,0.706,1.8,0.251,0.455,MQ,YES,125,0.071
43CM,ESM,Micromixer,20,17.97,0,2.03,0,2.044,1.8,0.727,1.317,MQ,NO,5258,1
44CM,ESM,Micromixer,20,12.03,0,7.97,0,2.044,1.8,0.727,1.317,MQ,YES,118,0.08
45CM,ESM,Micromixer,20,17.97,0,2.03,0,0.706,4.2,0.136,0.57,MQ,NO,624,0.569
46CM,ESM,Micromixer,20,12.03,0,7.97,0,0.706,4.2,0.136,0.57,MQ,YES,108,0.059
47CM,ESM,Micromixer,20,17.97,0,2.03,0,2.044,4.2,0.394,1.65,MQ,YES,198,0.236
48CM,ESM,Micromixer,20,12.03,0,7.97,0,2.044,4.2,0.394,1.65,MQ,YES,86,0.061
49CM,ESM,Micromixer,20,20,0,0,0,1.375,3,0.344,1.031,MQ,NO,3062,0.973
50CM,ESM,Micromixer,20,10,0,10,0,1.375,3,0.344,1.031,MQ,YES,86,0.066
51CM,ESM,Micromixer,20,15,0,5,0,0.25,3,0.063,0.188,MQ,YES,191,0.271
52CM,ESM,Micromixer,20,15,0,5,0,2.5,3,0.625,1.875,MQ,YES,147,0.042
53CM,ESM,Micromixer,20,15,0,5,0,1.375,1,0.688,0.688,MQ,NO,543,0.573
54CM,ESM,Micromixer,20,15,0,5,0,1.375,5,0.229,1.146,MQ,YES,131,0.037
55CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,197,0.179
56CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,169,0.087
57CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,181,0.143
58CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,163,0.091
59CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,176,0.162
60CM,ESM,Micromixer,20,15,0,5,0,1.375,3,0.344,1.031,MQ,YES,162,0.086
61CM,ESM,Micromixer,20,10,0,10,0,1.375,3.5,0.306,1.069,MQ,YES,84,0.09
62CM,ESM,Micromixer,20,10,0,10,0,2.5,3.5,0.556,1.944,MQ,YES,84,0.067
63CM,ESM,Micromixer,20,10,0,10,0,1.375,1,0.688,0.688,MQ,YES,110,0.043
64CM,ESM,Micromixer,20,10,0,10,0,2.5,1,1.25,1.25,MQ,YES,105,0.063
65CM,ESM,Micromixer,20,12,0,8,0,1.375,3.5,0.306,1.069,MQ,YES,99,0.054
66CM,ESM,Micromixer,20,12,0,8,0,2.5,3.5,0.56,1.94,MQ,YES,86,0.066
67CM,ESM,Micromixer,20,12,0,8,0,1.375,1,0.688,0.688,MQ,YES,129,0.029
68CM,ESM,Micromixer,20,12,0,8,0,2.5,1,1.25,1.25,MQ,YES,129,0.045
01OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.58,1.6,0.223,0.357,MQ,YES,126,0.263
02OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,1.6,0.835,1.335,MQ,YES,87,0.168
03OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.58,4.4,0.107,0.473,MQ,YES,96,0.219
04OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,4.4,0.402,1.768,MQ,YES,67,0.242
05OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.25,3,0.063,0.188,MQ,YES,129,0.334
06OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.5,3,0.625,1.875,MQ,YES,69,0.23
07OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,1,0.688,0.688,MQ,YES,150,0.421
08OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,4.4,0.255,1.12,MQ,YES,77,0.241
09OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,80,0.231
10OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,81,0.212
11OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,78,0.228
12OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,77,0.229
13OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,79,0.223
14OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.58,1.6,0.223,0.357,MQ,YES,142,0.334
15OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,1.6,0.835,1.335,MQ,YES,101,0.152
16OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.58,4.4,0.107,0.473,MQ,YES,104,0.306
17OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,4.4,0.402,1.768,MQ,YES,66,0.243
18OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.25,3,0.063,0.188,MQ,YES,149,0.356
19OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.5,3,0.625,1.875,MQ,YES,67,0.27
20OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,1,0.688,0.688,MQ,YES,159,0.4
21OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,4.4,0.255,1.12,MQ,YES,77,0.261
22OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,81,0.248
23OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,84,0.251
24OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,85,0.262
25OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,80,0.233
26OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,84,0.257
27OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.58,1.6,0.223,0.357,MQ,YES,137,0.307
28OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,1.6,0.835,1.335,MQ,YES,108,0.174
29OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.58,4.4,0.107,0.473,MQ,YES,103,0.262
30OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,4.4,0.402,1.768,MQ,YES,63,0.246
31OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,0.25,3,0.063,0.188,MQ,YES,132,0.295
32OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.5,3,0.625,1.875,MQ,YES,65,0.272
33OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,1,0.688,0.688,MQ,YES,158,0.409
34OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,4.4,0.255,1.12,MQ,YES,76,0.254
35OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,80,0.256
