ML,CHIP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT,SIZE,PDI
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.25,3.5,MQ,1,120.0,0.164
ESM,Micromixer,17.97,0.0,2.03,0.0,0.706,1.8,MQ,0,14748.0,0.726
ESM,Micromixer,12.03,0.0,7.97,0.0,0.706,1.8,MQ,1,132.0,0.052
ESM,Micromixer,17.97,0.0,2.03,0.0,2.044,1.8,MQ,0,4942.0,1.0
ESM,Micromixer,12.03,0.0,7.97,0.0,2.044,1.8,MQ,1,119.0,0.04
ESM,Micromixer,17.97,0.0,2.03,0.0,0.706,4.2,MQ,0,571.0,0.595
ESM,Micromixer,12.03,0.0,7.97,0.0,0.706,4.2,MQ,1,108.0,0.051
ESM,Micromixer,17.97,0.0,2.03,0.0,2.044,4.2,MQ,1,195.0,0.204
ESM,Micromixer,12.03,0.0,7.97,0.0,2.044,4.2,MQ,1,89.0,0.083
ESM,Micromixer,20.0,0.0,0.0,0.0,1.375,3.0,MQ,0,7297.0,1.0
ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,3.0,MQ,1,89.0,0.08
ESM,Micromixer,15.0,0.0,5.0,0.0,0.25,3.0,MQ,1,189.0,0.213
ESM,Micromixer,15.0,0.0,5.0,0.0,2.5,3.0,MQ,1,158.0,0.064
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,1.0,MQ,1,410.0,0.453
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,5.0,MQ,1,125.0,0.048
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,163.0,0.119
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,154.0,0.072
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,161.0,0.07
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,166.0,0.074
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,169.0,0.051
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,162.0,0.065
ESM,Micromixer,17.97,0.0,2.03,0.0,0.706,1.8,MQ,0,834.0,0.856
ESM,Micromixer,12.03,0.0,7.97,0.0,0.706,1.8,MQ,1,125.0,0.03
ESM,Micromixer,17.97,0.0,2.03,0.0,2.044,1.8,MQ,0,8974.0,0.832
ESM,Micromixer,12.03,0.0,7.97,0.0,2.044,1.8,MQ,1,112.0,0.051
ESM,Micromixer,17.97,0.0,2.03,0.0,0.706,4.2,MQ,0,623.0,0.643
ESM,Micromixer,12.03,0.0,7.97,0.0,0.706,4.2,MQ,1,106.0,0.066
ESM,Micromixer,17.97,0.0,2.03,0.0,2.044,4.2,MQ,1,185.0,0.149
ESM,Micromixer,12.03,0.0,7.97,0.0,2.044,4.2,MQ,1,84.0,0.059
ESM,Micromixer,20.0,0.0,0.0,0.0,1.375,3.0,MQ,0,4813.0,1.0
ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,3.0,MQ,1,87.0,0.089
ESM,Micromixer,15.0,0.0,5.0,0.0,0.25,3.0,MQ,1,181.0,0.132
ESM,Micromixer,15.0,0.0,5.0,0.0,2.5,3.0,MQ,1,147.0,0.029
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,1.0,MQ,1,299.0,0.558
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,5.0,MQ,1,138.0,0.034
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,182.0,0.099
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,177.0,0.101
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,128.0,0.042
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,179.0,0.141
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,168.0,0.114
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,177.0,0.16
ESM,Micromixer,17.97,0.0,2.03,0.0,0.706,1.8,MQ,0,15908.0,0.74
ESM,Micromixer,12.03,0.0,7.97,0.0,0.706,1.8,MQ,1,125.0,0.071
ESM,Micromixer,17.97,0.0,2.03,0.0,2.044,1.8,MQ,0,5258.0,1.0
ESM,Micromixer,12.03,0.0,7.97,0.0,2.044,1.8,MQ,1,118.0,0.08
ESM,Micromixer,17.97,0.0,2.03,0.0,0.706,4.2,MQ,0,624.0,0.569
ESM,Micromixer,12.03,0.0,7.97,0.0,0.706,4.2,MQ,1,108.0,0.059
ESM,Micromixer,17.97,0.0,2.03,0.0,2.044,4.2,MQ,1,198.0,0.236
ESM,Micromixer,12.03,0.0,7.97,0.0,2.044,4.2,MQ,1,86.0,0.061
ESM,Micromixer,20.0,0.0,0.0,0.0,1.375,3.0,MQ,0,3062.0,0.973
ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,3.0,MQ,1,86.0,0.066
ESM,Micromixer,15.0,0.0,5.0,0.0,0.25,3.0,MQ,1,191.0,0.271
ESM,Micromixer,15.0,0.0,5.0,0.0,2.5,3.0,MQ,1,147.0,0.042
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,1.0,MQ,0,543.0,0.573
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,5.0,MQ,1,131.0,0.037
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,197.0,0.179
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,169.0,0.087
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,181.0,0.143
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,163.0,0.091
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,176.0,0.162
ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,162.0,0.086
ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,3.5,MQ,1,84.0,0.09
ESM,Micromixer,10.0,0.0,10.0,0.0,2.5,3.5,MQ,1,84.0,0.067
ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,1.0,MQ,1,110.0,0.043
ESM,Micromixer,10.0,0.0,10.0,0.0,2.5,1.0,MQ,1,105.0,0.063
ESM,Micromixer,12.0,0.0,8.0,0.0,1.375,3.5,MQ,1,99.0,0.054
ESM,Micromixer,12.0,0.0,8.0,0.0,2.5,3.5,MQ,1,86.0,0.066
ESM,Micromixer,12.0,0.0,8.0,0.0,1.375,1.0,MQ,1,129.0,0.029
ESM,Micromixer,12.0,0.0,8.0,0.0,2.5,1.0,MQ,1,129.0,0.045
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.58,1.6,MQ,1,126.0,0.263
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,1.6,MQ,1,87.0,0.168
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.58,4.4,MQ,1,96.0,0.219
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,4.4,MQ,1,67.0,0.242
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.25,3.0,MQ,1,129.0,0.334
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.5,3.0,MQ,1,69.0,0.23
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,1.0,MQ,1,150.0,0.421
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1,77.0,0.241
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,80.0,0.231
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,81.0,0.212
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,78.0,0.228
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,77.0,0.229
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,79.0,0.223
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.58,1.6,MQ,1,142.0,0.334
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,1.6,MQ,1,101.0,0.152
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.58,4.4,MQ,1,104.0,0.306
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,4.4,MQ,1,66.0,0.243
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.25,3.0,MQ,1,149.0,0.356
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.5,3.0,MQ,1,67.0,0.27
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,1.0,MQ,1,159.0,0.4
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1,77.0,0.261
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,81.0,0.248
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,84.0,0.251
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,85.0,0.262
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,80.0,0.233
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,84.0,0.257
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.58,1.6,MQ,1,137.0,0.307
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,1.6,MQ,1,108.0,0.174
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.58,4.4,MQ,1,103.0,0.262
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,4.4,MQ,1,63.0,0.246
HSPC,Micromixer,0.0,9.58,3.19,3.19,0.25,3.0,MQ,1,132.0,0.295
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.5,3.0,MQ,1,65.0,0.272
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,1.0,MQ,1,158.0,0.409
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1,76.0,0.254
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,80.0,0.256
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,76.0,0.247
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,79.0,0.251
