ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT,SIZE,PDI
37CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.326
38CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.295
39CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.327
40CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.354
41CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,2.0,MQ,1,MEDIUM,0.402
42CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,23.0,MQ,1,MEDIUM,0.354
43CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,2.0,MQ,1,SMALL,0.262
44CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,23.0,MQ,1,SMALL,0.376
45CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,2.0,MQ,1,SMALL,0.164
46CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,23.0,MQ,1,SMALL,0.242
47CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,2.0,MQ,1,SMALL,0.145
48CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,23.0,MQ,1,SMALL,0.265
49CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,1.0,MQ,1,MEDIUM,0.392
50CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,50.0,MQ,1,SMALL,0.38
51CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,7.0,MQ,1,MEDIUM,0.317
52CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,2.5,7.0,MQ,1,SMALL,0.285
53CD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.37,7.0,MQ,1,SMALL,0.333
54CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.37,7.0,MQ,1,SMALL,0.219
55CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.271
56CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.276
57CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.273
58CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.286
59CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.288
60CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,SMALL,0.278
61CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.375,3.5,MQ,1,SMALL,0.171
62CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,2.5,3.5,MQ,1,SMALL,0.196
63CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.375,1.0,MQ,1,SMALL,0.14
64CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,2.5,1.0,MQ,1,SMALL,0.13
65CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,1.375,3.5,MQ,1,SMALL,0.202
66CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.5,3.5,MQ,1,SMALL,0.219
67CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,1.375,1.0,MQ,1,MEDIUM,0.18
68CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.5,1.0,MQ,1,MEDIUM,0.217
69CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.25,1.0,MQ,1,MEDIUM,0.126
70CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.25,3.5,MQ,1,MEDIUM,0.164
01CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,0.706,1.8,MQ,0,BIG,0.726
02CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,0.706,1.8,MQ,1,MEDIUM,0.052
03CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,2.044,1.8,MQ,0,BIG,1.0
